,date,vix
530,2020-03-30,54
531,2020-03-27,54
532,2020-03-26,52
533,2020-03-25,49
534,2020-03-24,53
535,2020-03-23,62
536,2020-03-20,60
537,2020-03-19,69
538,2020-03-18,62
539,2020-03-17,64
540,2020-03-16,64
541,2020-03-13,53
542,2020-03-12,43
543,2020-03-11,37
544,2020-03-10,34
545,2020-03-09,36
546,2020-03-06,27
547,2020-03-05,23
548,2020-03-04,26
549,2020-03-03,29
550,2020-03-02,32
551,2020-02-28,33
552,2020-02-27,26
553,2020-02-26,25
554,2020-02-25,22
555,2020-02-24,23
556,2020-02-21,19
557,2020-02-20,18
558,2020-02-19,18
559,2020-02-18,18
560,2020-02-17,17
561,2020-02-14,16
562,2020-02-13,16
563,2020-02-12,16
564,2020-02-11,18
565,2020-02-10,18
566,2020-02-07,17
567,2020-02-06,17
568,2020-02-05,18
569,2020-02-04,18
570,2020-02-03,19
571,2020-01-31,19
572,2020-01-30,18
573,2020-01-29,16
574,2020-01-28,18
575,2020-01-23,15
576,2020-01-22,14
577,2020-01-21,14
578,2020-01-20,13
579,2020-01-17,13
580,2020-01-16,13
581,2020-01-15,13
582,2020-01-14,13
583,2020-01-13,13
584,2020-01-10,12
585,2020-01-09,13
586,2020-01-08,15
587,2020-01-07,15
588,2020-01-06,15
589,2020-01-03,15
590,2020-01-02,15
591,2019-12-30,14
592,2019-12-27,14
593,2019-12-26,14
594,2019-12-24,13
595,2019-12-23,13
596,2019-12-20,13
597,2019-12-19,13
598,2019-12-18,13
599,2019-12-17,13
600,2019-12-16,13
601,2019-12-13,13
602,2019-12-12,13
603,2019-12-11,13
604,2019-12-10,13
605,2019-12-09,13
606,2019-12-06,13
607,2019-12-05,14
608,2019-12-04,14
609,2019-12-03,14
610,2019-12-02,13
611,2019-11-29,13
612,2019-11-28,13
613,2019-11-27,13
614,2019-11-26,14
615,2019-11-25,13
616,2019-11-22,13
617,2019-11-21,14
618,2019-11-20,14
619,2019-11-19,13
620,2019-11-18,13
621,2019-11-15,13
622,2019-11-14,13
623,2019-11-13,13
624,2019-11-12,13
625,2019-11-11,14
626,2019-11-08,13
627,2019-11-07,13
628,2019-11-06,13
629,2019-11-05,13
630,2019-11-04,13
631,2019-11-01,13
632,2019-10-31,13
633,2019-10-30,13
634,2019-10-29,13
635,2019-10-28,13
636,2019-10-25,13
637,2019-10-24,13
638,2019-10-23,13
639,2019-10-22,13
640,2019-10-21,13
641,2019-10-18,13
642,2019-10-17,13
643,2019-10-16,13
644,2019-10-15,13
645,2019-10-14,14
646,2019-10-11,14
647,2019-10-10,15
648,2019-10-08,15
649,2019-10-07,16
650,2019-10-04,16
651,2019-10-02,15
652,2019-10-01,14
653,2019-09-30,15
654,2019-09-27,14
655,2019-09-26,15
656,2019-09-25,15
657,2019-09-24,14
658,2019-09-23,14
659,2019-09-20,14
660,2019-09-19,14
661,2019-09-18,14
662,2019-09-17,14
663,2019-09-16,14
664,2019-09-11,13
665,2019-09-10,13
666,2019-09-09,14
667,2019-09-06,14
668,2019-09-05,15
669,2019-09-04,15
670,2019-09-03,16
671,2019-09-02,16
672,2019-08-30,15
673,2019-08-29,16
674,2019-08-28,16
675,2019-08-27,16
676,2019-08-26,17
677,2019-08-23,15
678,2019-08-22,15
679,2019-08-21,15
680,2019-08-20,14
681,2019-08-19,16
682,2019-08-16,17
683,2019-08-14,16
684,2019-08-13,17
685,2019-08-12,15
686,2019-08-09,15
687,2019-08-08,16
688,2019-08-07,19
689,2019-08-06,20
690,2019-08-05,19
691,2019-08-02,16
692,2019-08-01,15
693,2019-07-31,15
694,2019-07-30,14
695,2019-07-29,15
696,2019-07-26,14
697,2019-07-25,14
698,2019-07-24,13
699,2019-07-23,13
700,2019-07-22,13
701,2019-07-19,13
702,2019-07-18,13
703,2019-07-17,13
704,2019-07-16,12
705,2019-07-15,13
706,2019-07-12,12
707,2019-07-11,13
708,2019-07-10,14
709,2019-07-09,14
710,2019-07-08,14
711,2019-07-05,13
712,2019-07-04,13
713,2019-07-03,13
714,2019-07-02,13
715,2019-07-01,14
716,2019-06-28,14
717,2019-06-27,13
718,2019-06-26,14
719,2019-06-25,14
720,2019-06-24,13
721,2019-06-21,13
722,2019-06-20,13
723,2019-06-19,14
724,2019-06-18,14
725,2019-06-17,14
726,2019-06-14,14
727,2019-06-13,14
728,2019-06-12,14
729,2019-06-11,14
730,2019-06-10,14
731,2019-06-07,15
732,2019-06-05,16
733,2019-06-04,17
734,2019-06-03,17
735,2019-05-31,17
736,2019-05-30,16
737,2019-05-29,17
738,2019-05-28,17
